"old_tips","new_tips"
"Myrceugenia.chrysocarpa_Landrum.8166","Myrceugenia.chrysocarpa"
"Myrceugenia.colchaguensis_Landrum.8033","Myrceugenia.colchaguensis"
"Myrceugenia.correifolia_Teillier.5360","Myrceugenia.correifolia"
"Myrceugenia.cucullata_Wasum.105","Myrceugenia.cucullata"
"Myrceugenia.euosma_SoaresSilva.715","Myrceugenia.euosma"
"Myrceugenia.exsucca_MurilloA.4217","Myrceugenia.exsucca"
"Myrceugenia.franciscensis_Miyagi.357","Myrceugenia.franciscensis"
"Myrceugenia.gertii_Barbosa.948","Myrceugenia.gertii"
"Myrceugenia.glaucescens_Landrum.11231","Myrceugenia.glaucescens"
"Myrceugenia.hamoniana_Garcia.533","Myrceugenia.hamoniana"
"Myrceugenia.kleinii_Cordeiro.734","Myrceugenia.kleinii"
"Myrceugenia.lanceolata_Mihoc.6220","Myrceugenia.lanceolata"
"Myrceugenia.leptospermoides_MurilloA.4214","Myrceugenia.leptospermoides"
"Myrceugenia.miersiana_Lucas.164","Myrceugenia.miersiana"
"Myrceugenia.myrcioides.var.acrophylla_Ribas.229","Myrceugenia.myrcioides.var.acrophylla"
"Myrceugenia.myrcioides_Lucas.82","Myrceugenia.myrcioides"
"Myrceugenia.myrtoides_Rossato.47","Myrceugenia.myrtoides"
"Myrceugenia.obtusa_Brownless.1227","Myrceugenia.obtusa"
"Myrceugenia.ovalifolia_Lucas.259","Myrceugenia.ovalifolia"
"Myrceugenia.ovata.var.acutata_Chagas.1979","Myrceugenia.ovata.var.acutata"
"Myrceugenia.ovata.var.nannophylla_Mihoc.5162","Myrceugenia.ovata.var.nannophylla"
"Myrceugenia.ovata.var.ovata_Gardner.19","Myrceugenia.ovata.var.ovata"
"Myrceugenia.ovata.var.regnelliana_Souza.10621","Myrceugenia.ovata.var.regnelliana"
"Myrceugenia.ovata_RBGE.19982353C","Myrceugenia.ovata"
"Myrceugenia.oxysepala_Ribas.2234","Myrceugenia.oxysepala"
"Myrceugenia.parvifolia_Landrum.5916","Myrceugenia.parvifolia"
"Myrceugenia.pilotantha_Lucas.230","Myrceugenia.pilotantha"
"Myrceugenia.pinifolia_Gardner.164","Myrceugenia.pinifolia"
"Myrceugenia.planipes_Aedo.7378","Myrceugenia.planipes"
"Myrceugenia.reitzii_Barbosa.945","Myrceugenia.reitzii"
"Myrceugenia.rufa_Teillier.150795","Myrceugenia.rufa"
"Myrceugenia.rufescens_Lucas.469","Myrceugenia.rufescens"
"Myrceugenia.schulzei_Ruiz.8266","Myrceugenia.schulzei"
"Myrceugenia.seriatoramosa_Silva.2358","Myrceugenia.seriatoramosa"
"Myrcia.abbotiana_Lucas.1108","Myrcia.abbotiana"
"Myrcia.aethusa_Lima.447","Myrcia.aethusa"
"Myrcia.amazonica_Lucas.130","Myrcia.amazonica"
"Myrcia.amplexicaulis_Amorim.1940","Myrcia.amplexicaulis"
"Myrcia.anacardiifolia_Nadruz.999","Myrcia.anacardiifolia"
"Myrcia.anceps_Lucas.236","Myrcia.anceps"
"Myrcia.anomala_Faria.1015","Myrcia.anomala"
"Myrcia.apodocarpa_Acosta.sn","Myrcia.apodocarpa"
"Myrcia.ascendens_Santos.829","Myrcia.ascendens"
"Myrcia.aurea_Lucas.729","Myrcia.aurea"
"Myrcia.barituensis_Serrano.5327","Myrcia.barituensis"
"Myrcia.barkeri_Lucas.1116","Myrcia.barkeri"
"Myrcia.bella_Lima.379","Myrcia.bella"
"Myrcia.bergiana_Lima.409","Myrcia.bergiana"
"Myrcia.bicarinata_Santos.849","Myrcia.bicarinata"
"Myrcia.bicolor_Lucas.219","Myrcia.bicolor"
"Myrcia.blanchetiana_Lima.436","Myrcia.blanchetiana"
"Myrcia.bracteata_Prevost.4712","Myrcia.bracteata"
"Myrcia.brasiliensis_Lucas.62","Myrcia.brasiliensis"
